idcustomer,name,age,renting,created_at,account_points,premium_membership
127,Pauly,21,0,10/5/2024,66,1
128,Aimee,74,1,10/2/2024,8,0
129,Rollins,22,1,2/20/2024,95,0
130,Lise,35,1,8/23/2024,72,1
131,Leona,26,0,4/8/2024,36,0
132,Antin,48,0,9/22/2024,7,0
133,Gunilla,37,0,5/12/2024,98,0
134,Elissa,74,0,1/5/2025,72,0
135,Mar,87,0,5/16/2024,39,1
136,Mordecai,45,1,10/15/2024,58,1
137,Tarra,64,0,7/21/2024,49,1
138,Lanna,51,1,8/9/2024,32,0
139,Kassandra,34,0,7/11/2024,57,1
140,Roley,94,0,5/2/2024,97,0
141,Mohandas,99,1,4/6/2024,52,1
142,Ilka,37,0,5/26/2024,30,1
143,Romona,39,0,5/14/2024,25,1
144,Mercie,47,1,12/16/2024,29,1
145,Jeannine,60,1,7/5/2024,55,1
146,Berte,67,1,3/10/2024,66,1
147,Nicoline,55,0,1/5/2025,39,0
148,Bettye,76,1,5/10/2024,98,1
149,Beatriz,32,1,2/3/2024,79,1
150,Benjy,45,0,1/28/2025,84,1
151,Ellen,57,0,3/15/2024,9,0
152,Brock,37,1,3/2/2024,31,0
153,Brett,53,1,7/28/2024,47,1
154,Roscoe,25,1,2/22/2024,28,0
155,Finn,91,0,1/26/2025,76,0
156,Starr,74,0,3/31/2024,9,0
157,Myron,80,1,12/29/2024,16,1
158,Marwin,60,1,1/28/2025,96,0
159,Yoko,88,1,7/24/2024,69,0
160,Jillie,100,1,1/12/2025,100,0
161,Noel,66,1,4/24/2024,90,0
162,Celinka,46,1,10/26/2024,77,0
163,Cesare,35,1,1/27/2025,83,1
164,Mariska,86,0,10/21/2024,51,1
165,Ashlie,89,1,5/25/2024,96,0
166,Verna,53,0,1/21/2025,17,1
167,Mellicent,59,1,8/10/2024,86,0
168,Meagan,28,1,12/19/2024,99,0
169,Amandi,58,1,3/21/2024,86,0
170,Micah,84,1,12/1/2024,58,1
171,Barbaraanne,42,1,12/2/2024,26,0
172,Juliana,95,0,5/20/2024,37,1
173,Bebe,58,1,4/18/2024,85,0
174,Joyann,74,0,8/7/2024,55,1
175,Selene,88,1,11/16/2024,93,1
176,Karola,75,1,4/9/2024,81,1
177,Dick,41,0,10/7/2024,32,1
178,Dixie,89,0,6/20/2024,30,0
179,Cass,99,1,4/6/2024,70,0
180,Kenton,82,0,1/4/2025,15,1
181,Fonzie,96,1,7/16/2024,26,0
182,Bond,98,0,1/27/2025,9,1
183,Sonja,52,1,1/31/2025,47,0
184,Brit,80,0,2/24/2024,89,0
185,Cordey,88,0,8/23/2024,27,1
186,Reggie,37,0,12/1/2024,60,0
187,Belle,100,1,8/8/2024,10,1
188,Alfy,38,1,3/19/2024,51,0
189,Georgeanne,32,0,4/28/2024,52,0
190,Ailsun,65,0,3/3/2024,20,0
191,Edwina,54,1,10/8/2024,12,1
192,Trumaine,38,1,8/6/2024,76,1
193,Sammie,46,0,5/2/2024,92,0
194,Rafaelia,85,1,1/7/2025,69,0
195,Kingsley,41,1,9/25/2024,69,0
196,Lorette,37,0,7/23/2024,83,1
197,Nora,74,0,2/7/2024,4,1
198,Batsheva,85,0,10/29/2024,22,1
199,Happy,48,0,6/17/2024,45,0
200,Emelita,93,0,3/24/2024,78,1
201,Sophia,60,1,4/10/2024,69,1
202,Belva,69,1,9/14/2024,9,1
203,Helen-elizabeth,97,0,2/1/2025,77,0
204,Rayner,69,1,4/16/2024,9,0
205,Irvine,74,0,7/21/2024,54,0
206,Colman,66,1,3/7/2024,12,0
207,Amerigo,95,0,11/27/2024,14,0
208,Smith,87,0,4/4/2024,70,0
209,Connie,93,0,2/24/2024,55,0
210,Grethel,31,0,11/11/2024,14,0
211,Bea,85,0,1/25/2025,18,0
212,Lemuel,75,1,5/23/2024,43,1
213,Rakel,39,0,6/5/2024,39,0
214,Birgit,86,1,11/5/2024,57,0
215,Roddy,79,0,8/7/2024,42,1
216,Giulio,25,0,10/13/2024,30,1
217,Verine,76,1,12/15/2024,33,0
218,Pooh,62,0,11/3/2024,43,1
219,Ddene,76,1,11/1/2024,79,0
220,Cindee,91,0,9/16/2024,32,0
221,Ulrika,40,0,12/8/2024,8,1
222,Valentino,99,0,6/3/2024,100,0
223,Tamera,24,1,10/12/2024,74,0
224,Clair,77,0,5/6/2024,32,1
225,Nicki,83,1,10/17/2024,71,0
226,Rickert,92,1,8/3/2024,9,1
227,Ogdon,25,1,4/3/2024,23,1
228,Mellicent,53,0,4/10/2024,87,0
229,Katey,46,0,11/10/2024,2,0
230,Creight,68,0,12/15/2024,25,1
231,Nappie,88,0,2/9/2024,42,0
232,Farlay,99,1,1/6/2025,48,0
233,Rodi,38,1,7/25/2024,22,1
234,Mellisent,37,0,5/26/2024,23,0
235,Brandie,31,1,6/20/2024,88,0
236,Priscilla,42,1,3/22/2024,69,1
237,Arly,41,1,2/27/2024,46,0
238,Taber,38,1,1/3/2025,55,0
239,Izak,27,0,11/7/2024,77,0
240,Amalia,97,0,8/5/2024,8,0
241,Fitz,42,0,3/22/2024,50,0
242,Ruthe,77,0,1/27/2025,67,0
243,Phyllis,45,0,5/13/2024,43,1
244,Giacopo,55,0,6/28/2024,67,1
245,Lew,88,1,9/19/2024,73,0
246,Virgina,24,0,9/9/2024,49,1
247,Evie,75,0,1/6/2025,22,0
248,Annabel,42,0,3/15/2024,58,0
249,Madlen,27,1,7/16/2024,55,0
250,Salomon,40,0,10/4/2024,47,0
